"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",23792183.8694976,24825035.4173946,23549762.2054837,22825228.4829577,24295137.559943
"01003",197826424.253433,197688562.424141,197568856.474453,199607306.049106,202312948.534696
"01005",12762679.2494255,13710499.810604,13279539.0370967,13198288.0619924,13598301.0286385
"01007",10862912.4545061,10433779.0098015,11231251.2349005,11685423.7757364,12215884.1803344
"01009",17394044.1687617,16512691.2937855,16669440.4269579,16830789.660871,17519037.5233171
"01011",2906246.94823687,2662453.0347148,2835129.78053382,2725620.06103689,2901733.18822172
"01013",15635417.3088307,14416450.4162637,14477096.5970417,14524322.4412956,15630690.1492792
"01015",90512121.0251869,90212569.8556737,89671288.3061658,91615486.0145449,92078507.75335
"01017",14696710.3450871,12067425.6710368,12695918.3701102,12084462.724816,13955118.427643
"01019",13147576.2575573,11893749.6012717,12759334.4277802,12775575.5081759,13331129.9319745
"01021",23059162.3357695,22115689.376791,21758717.5538515,22762474.9716777,23393096.8802914
"01023",9545225.49523948,9391276.32860828,9463968.40898683,10646419.775638,10939136.3291916
"01025",16804283.1779515,15816158.4455997,16074365.0708973,16287033.9479716,16912774.3357551
"01027",3184886.09870384,3312822.76825693,3013923.2591886,3014919.53463029,3192629.20513271
"01029",3803309.74912352,3732123.70579343,3754397.22769299,3776750.40200386,3799105.55536295
"01031",31496882.7485969,29454530.1768231,31703728.0252518,31569879.065559,31956848.6062198
"01033",48648752.0826834,48938513.5389149,49228305.0204434,49518096.5058278,49807887.9912126
"01035",12067912.4715041,11037065.6087307,11536295.5872446,11338396.1183924,11351757.2904627
"01037",1991054.15064645,2012433.28034907,1824486.42979739,1978568.73058717,1975043.57407244
"01039",37493762.8259416,35553956.7544367,37578491.4310962,36530400.5191859,38030969.1269332
"01041",7834631.52543238,6040414.4801896,7757636.82920964,6162142.27271326,7524444.93904259
"01043",85037530.2919768,78413917.0790054,83823866.3302511,84864665.3964532,88897730.4121348
"01045",33308279.4301669,33763278.0639294,34017730.7994425,34272126.6858982,34526522.5566681
"01047",16784787.3440735,15631343.1847361,15936374.2761099,16120239.1328086,16926766.6451269
"01049",50186967.4828556,43740590.4179169,46180973.7318483,48561388.2541497,53227439.4594777
"01051",39620217.3711467,37327820.6106655,37904271.2745791,39720644.3463274,39983660.8059812
"01053",21214031.9493381,21266353.4419896,20730485.8819627,20622364.0340501,21034883.6486923
"01055",66807618.8872233,63360329.4840962,66801994.036661,65854593.6887506,67275016.5475679
"01057",5286993.33933224,5296761.69030159,5150447.36904268,5193013.82771117,5253077.36885389
"01059",11708520.625878,9907971.36694615,10931758.5275397,10919579.8845411,11441146.5486393
"01061",12860947.645254,11322419.1891228,11770522.3885061,12708749.897061,13018904.3590703
"01063",1893875.17693487,1796515.74655605,1776969.89252043,1839689.05217161,1892666.32170397
"01065",3111819.38476227,2543961.83838994,2865731.45534455,2887741.77864598,2963815.12872218
"01067",8896216.46425092,7519221.93454046,7541401.95984512,8109049.77468495,8723894.79772832
"01069",171708425.493003,173567802.678163,157803465.988885,159293108.861387,175053364.53686
"01071",26723074.4039328,23801589.5308484,25401448.5330751,25765172.8310582,27083998.6736424
"01073",971216265.940877,1032502386.23456,894478785.31237,922272781.60289,977313911.324883
"01075",5729644.30180672,5729512.81052459,5729513.56140696,5729513.55713243,5729513.55715676
"01077",57488236.1352701,56208167.321077,54882655.4630802,55829556.7453215,59808048.2717337
"01079",11221883.3519184,10894883.4596466,11434771.5550202,11594608.0772651,11382221.292056
"01081",129307162.687425,128609222.828667,127143023.810506,130553850.401135,133850067.289422
"01083",60177460.3624458,60609667.9324309,62950698.377166,68708787.5824441,63959343.6267706
"01085",2550003.16987486,2578949.79442778,2582340.01787642,2582707.34069514,2582746.78339747
"01087",3013069.79178078,2773067.01281397,2901722.76445422,2669362.09008065,2917441.76688345
"01089",327741848.309625,310856778.587759,314327417.503397,322837021.508325,334490291.934833
"01091",14194742.9010163,14632400.6774612,13159511.9733184,13925700.325586,14436423.1628569
"01093",16741965.9572531,15242148.7782045,15454892.780258,15532206.7658169,16221493.5866471
"01095",74121689.2909749,67599856.7290861,71836464.5439105,73165899.1954846,76048663.8883703
"01097",505337206.010587,483088813.830844,470931525.572133,481195246.772749,490835955.121376
"01099",17225370.3037878,14896450.5358193,15591194.8855095,16234261.7942352,16832787.1547824
"01101",278110142.438568,257665054.292745,258982850.399863,258092976.069093,275648846.932132
"01103",110765120.615485,101650203.635389,103839871.771094,100706382.103121,108667661.334833
"01105",1477562.95397599,1349299.5045226,1353263.95156633,1313151.89532719,1450206.80667709
"01107",3710469.11013403,3567333.23441738,3397184.25400089,3539639.86015516,3544013.49284497
"01109",45565147.7532394,43798569.0272017,47158605.9450155,48417041.502932,49330548.7260239
"01111",9049204.22851042,9231910.54523558,9286390.82553297,9339955.4075317,9393517.98115209
"01113",22240785.8574976,20924264.1319155,21225600.2664256,21441196.6341095,22774137.2591514
"01115",47748660.3406954,44980775.2916582,43936365.9751194,45302689.3524706,48618554.6042108
"01117",316942118.092559,329943083.103584,290425909.412818,296630991.342133,329146380.271507
"01119",3035102.17643162,3035102.1445532,3035102.14455327,3035102.14455327,3035102.14455327
"01121",52166763.6082038,48894147.1804628,48196728.161633,49384286.4073614,51903668.1970212
"01123",16969716.2927959,17050926.2511154,17653437.3124835,17761809.8715205,17487214.8145069
"01125",160334314.827228,153293582.73139,152079223.433644,153772146.237707,158712481.08683
"01127",40587017.3321907,40494575.3479539,40078839.9449467,40389739.7697533,40721626.1872801
"01129",11938874.8077296,11477875.720046,11817128.6311317,11857745.8332823,11622469.0444236
"01131",2599895.41800131,2345772.49552042,2668252.09052659,2688179.20820363,2737813.06869939
"01133",12353170.4902093,11771032.4481334,11755112.809057,12051458.8792583,12779146.3306569
"02013",686474.217530566,612981.944956194,661498.247744713,1208157.33720017,744657.25461744
"02016",16259725.4540217,16113272.5660777,14059313.7845513,15269129.5154352,14721553.7880919
"02020",496397064.026658,477471314.899293,488629514.940723,503490893.564579,502266913.523651
"02050",8906380.75941925,8906381.54165892,8906381.54165798,8906381.54165798,8906381.54165798
"02060",1804515.42046013,1328529.14087564,1934339.19290938,2721213.05360799,2060827.10141089
"02068",3145338.84583203,2331018.34269407,2716188.86154745,3481299.3821753,3056851.64609908
"02070",2289491.49556524,1914613.37915156,2250923.20975422,2519805.99923052,2233024.5709612
"02090",89564723.5864393,86704579.1874489,89107943.4207406,93647649.8103209,92210245.8039052
"02100",1247584.99418379,1009881.57109654,1184791.43128366,1344813.69344333,1265748.70161338
"02110",29874096.5142073,23893651.483983,27019414.5639879,32981293.6046138,30017489.3511343
"02122",48262054.9155706,45933581.8641486,56985956.3538335,58146278.0186103,47282478.4469369
"02130",18379734.6136681,12180595.6911194,16352710.609441,16096224.3311848,17821112.815403
"02150",10416555.8505113,8887449.95019244,9277115.45691347,11513976.2525621,10661731.9252574
"02164",1560460.6120354,1176293.60850497,1524516.76352255,1995049.62268631,1612915.5830292
"02170",57241310.3391133,55040964.5206119,58558463.2737472,61794934.5516462,59385618.6855467
"02180",6867218.85712927,6908581.63126422,6949944.40539917,6991307.17953412,7032669.95366907
"02185",11200332.0449003,11529576.6987973,10006371.5646157,10263648.3034205,11506004.0901287
"02188",4669899.28761707,4343438.0611906,4450541.69418861,4513821.84744594,4621348.78251255
"02220",7086759.43683561,5223015.70461736,5339914.35446544,6815009.62355403,7161008.89084957
"02240",4805940.34639438,4326522.45827589,4388561.75840659,4569377.59673563,4656012.15599279
