"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",5383333.58687866,5426285.44633903,5457398.24090846,5488697.08900782,5519992.9371015
"01003",64442803.4227788,64233452.9545148,65157019.9209895,66333575.9678698,66809380.5400836
"01005",2555517.88729651,2480867.97467796,2478916.00965414,2423626.61369334,2527837.89904929
"01007",780993.811674815,750010.414529469,682815.267745779,682815.689129372,682815.683543165
"01009",3148369.47886494,3194095.69560225,3214370.99945881,3206478.73921255,3194098.93382449
"01011",485043.297336058,416236.585014661,458243.895951341,480428.419560349,471932.594560096
"01013",1657036.19267661,1535922.16515849,1618669.50512204,1565398.17406205,1628409.74368643
"01015",19745445.753596,19714310.3422868,18944137.7339547,18695474.6245614,19925063.3333876
"01017",2063606.58765847,1633243.28546549,1557468.12369091,1723452.40954251,1616847.51485962
"01019",1686298.93892921,1463737.09921606,1571996.98526312,1528647.37071853,1651460.79025398
"01021",3083171.16584712,3054951.17328292,3028875.57578011,3005447.72915104,2984414.83951081
"01023",1081482.10327406,942631.566612924,967076.980269413,995967.373016917,1068579.37521372
"01025",4513456.55052074,4142324.05299737,4206755.97606002,4044820.41295831,4445530.93648813
"01027",2021288.63266222,1235778.77851613,1211512.62726844,1116768.05703872,2070575.74494871
"01029",747296.214486415,698491.523400257,680543.838448711,659726.288839597,797421.378732265
"01031",7927833.58853755,8436882.44021336,8204419.74528007,8166753.56235013,8423632.58926408
"01033",12319560.5382888,11169822.7937245,11201086.379929,11499094.9906842,12466853.7916704
"01035",467204.284897759,429959.232352616,450389.767725936,433391.208929524,459742.045420798
"01037",99284.454450124,65880.1833019566,85469.832961205,76750.8485522892,80625.0886440678
"01039",5583937.33705638,5444738.4736396,5087484.83366412,5258882.58277324,5618484.77259471
"01041",1655739.27957896,1456533.44926294,1528734.6879776,1305231.29005303,1575185.48302052
"01043",15693771.5639848,13974375.7788075,12760337.2071722,13017754.0673282,15921317.430028
"01045",5161396.98959426,5402072.76992526,4957272.41713131,4852516.32751394,5292346.76323975
"01047",4338369.72402787,3901410.23215688,4016512.35665156,3968985.99259263,4512229.60159259
