"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",6064857.37957433,5606587.11114941,5466621.65904124,5195489.57482644,5147776.22064652
"01003",75070399.7053793,64726473.1993625,70856600.3400353,73641348.6348769,77829816.7219926
"01005",1936978.44466311,2584000.73942898,1780130.62305181,2108395.22716922,2103427.16865262
"01007",10019802.6010707,11564032.2306826,9843145.89898123,11052690.133292,13813041.5339363
"01009",7405719.5966406,5960757.31673866,6467070.2815863,6590905.92015819,7221384.45698082
"01011",5179.48260497305,5698.31163525166,5696.09866231903,5696.10809665731,5696.10805643679
"01013",2558449.05474493,2068137.33063558,2155976.34478885,2222260.88677801,2568591.63355001
"01015",13991106.9980884,12438259.6019938,11619734.0825713,11598463.0256307,13028925.0167093
"01017",3350956.97232758,3338071.09879931,3340037.90499113,3338935.38746693,3339112.98996444
"01019",1033864.46471394,1017630.7434077,951466.299885476,871419.387547178,832537.972657623
"01021",9328244.11863105,6427683.52965124,7895595.01277568,8125586.48538649,9258429.08373893
"01023",1049.16798130555,51253.2052281121,78170.6515491955,92590.7707415407,100315.910765337
"01025",1941987.02656943,1902763.47087579,1883415.01332531,1873818.31900182,1869058.39069132
"01027",358029.420946483,352941.62807881,303003.168788432,398929.686134619,337274.540948184
"01029",6273843.10296356,6019299.97129082,5793920.40686947,6420955.29546481,6106019.90191089
"01031",3442393.26167423,4561831.35489051,4867644.9580947,4178554.94129543,4104076.21347596
"01033",30088364.9287856,26876942.2091615,23225589.7008327,26871075.885321,29167981.6663161
"01035",557024.613077229,509066.834153915,522274.314430199,565964.21206733,550628.764634481
"01037",324547.309727856,316380.353153691,308779.648055203,301729.99605623,295191.441867942
"01039",5090896.25929531,4376853.77541142,4793239.85961183,4942007.20514608,5558565.48721726
"01041",979227.026582706,904537.00464676,865191.283524249,841884.296872157,826542.83947364
"01043",19843328.0049707,15379127.2226867,18446170.3186275,18649388.3638062,20429891.5885978
"01045",8162213.00917973,6664550.15556305,6836462.6043891,7164626.0529228,8116032.18353946
"01047",7367600.71990606,5820200.37909568,5478817.01493928,5426468.56812729,7069162.91786656
"01049",10082039.7590911,9079348.97267941,10406744.2314394,11025905.4728634,10233111.3341927
"01051",12602537.4907361,11691321.0045518,12610428.7028703,11703280.2408207,12598796.5220754
"01053",4650890.89598226,4548844.46311418,4469984.44360282,4411567.7647368,4368240.74595661
"01055",11680395.36394,11358181.9243773,9853301.5739913,10834052.026004,11612843.6056888
"01057",876685.596523891,835691.963951212,839548.895251742,838323.814546909,838712.938072519
"01059",1962067.92225967,2035425.11924135,2162447.30578011,2341931.35555463,2189714.26073603
"01061",1489761.6783211,1262837.61682118,1302719.75756983,1249821.68832319,1375594.32542581
"01063",552476.625612908,548082.552893318,542021.757450637,538276.325559695,535333.607625347
"01065",1978188.9326527,1858278.88605724,1853851.03071577,1813126.02437813,1854236.24466855
"01067",2904220.02506272,2830598.85920096,2786701.43472947,2751439.36695325,2721491.46237353
"01069",26531738.0609679,27088269.7179665,27088268.1524401,27088268.1509963,27088268.150995
"01071",5869426.13353239,5475117.92854287,5991002.30549733,5587000.82040832,5802227.42215045
"01073",328259734.20389,251272965.781132,278956096.137638,286382819.984621,325693790.253324
"01075",686482.87314264,683292.730763684,680231.13556064,677684.677049631,675560.462034579
"01077",22022397.9134537,20205615.1710056,20126495.4363168,20607942.2498926,22442077.3342953
"01079",4469184.1343265,4455633.35384233,4454230.73661302,4454083.80667401,4454068.39604288
"01081",37868958.6729201,37777844.5737969,38078504.8647809,38379165.1565786,38679825.4483763
"01083",44992214.1287444,49460286.3944529,38726007.733115,33059483.3138183,46377070.3981528
"01085",1109215.70232629,1094875.40736623,1093679.51612361,1081903.73824915,1097012.99651837
"01087",1008457.45138999,1008455.72906676,1008455.72919799,1008455.72919798,1008455.72919798
"01089",125933828.234241,103698277.557448,107376491.879476,112833011.137027,130498619.538452
"01091",6238188.3157343,5449488.01487609,5635108.73373703,5456912.76674989,5888663.74376483
"01093",1060967.59840581,1029170.51810436,1029168.43663449,1029168.42795875,1029168.42792259
"01095",18875287.9535835,16293530.4083442,16529466.1915979,14221058.3074829,17221200.735637
"01097",166595076.23353,151179465.975649,152120098.330247,144503607.097559,159759993.905372
"01099",10479037.0446023,11940602.1511099,13604937.9186185,15279045.5884356,16960363.9646531
"01101",74114142.171105,59203681.0492953,65978923.0887792,67225256.9279093,76020281.4520608
"01103",60534517.9056916,50562319.9820807,57103972.7755655,60013476.7303544,61439430.8115355
"01105",496277.400632687,323498.199667239,262380.059189748,417776.132891543,479954.265186963
