"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",13298795.80384,11873700.4019295,12290395.0651563,13380163.948042,13538885.3004289
"01003",141967504.933084,127898622.769967,137386018.25494,140342552.546477,148673675.116943
"01005",7919309.26904012,7730061.26196555,8028836.60611055,8234617.28872569,8213240.10749641
"01007",6539396.88856871,6571445.92527499,5985358.68313393,5948457.92155669,5982892.84681272
"01009",10082038.178515,9837086.25696344,9859908.9217986,10565860.798279,10466965.3673562
"01011",6738791.14850076,5342718.17594145,5440203.2499504,6081908.37503774,6087371.15574696
"01013",9830080.71454746,9184710.05248649,9763144.21518159,9698645.98824186,9877897.88375558
"01015",46878830.2622151,43371709.5000969,45015252.9118992,46736285.9476928,51713554.5551725
"01017",8560864.60427404,7919756.71822229,8292803.74671798,8076821.74963535,8233734.32944087
"01019",5604307.48501058,5305754.74291115,5582505.78139785,5361366.98356872,5318841.25292912
"01021",8935590.33001061,9243729.54434661,9071976.73789957,9167729.65552814,9114346.99039633
"01023",4343099.80394502,4232821.67889616,4438462.01481306,4431998.24409575,4500867.40753524
"01025",9570922.48472154,8011419.56656634,9141125.4754617,9375125.83672825,9537227.99485798
"01027",2829830.41479452,2364514.5671896,2664141.93335291,2599217.85039593,2873261.81593306
"01029",969764.57590429,945135.745887393,919321.96890173,968307.420016462,969177.813707662
"01031",25019627.0776162,20387614.7849028,22243882.6010244,21490064.2371668,25160918.9784277
"01033",27504249.1701666,24041361.0152928,26968143.5269769,24967870.3470412,29408361.1775981
"01035",3520337.65297118,3514666.25955692,3348177.60203455,3685097.52990958,3601299.44009637
"01037",786511.210116042,664939.156467377,704854.101839743,621373.346991688,630664.713688561
"01039",18270251.7096314,16838711.4035316,17927042.9924157,17720810.0052323,18681104.21206
"01041",4307388.25333984,3945102.06584707,4351423.8681349,4320844.59340904,4384802.05340027
"01043",55984869.7471561,47946852.3318692,51766620.6984713,52325053.2827285,55939418.3387146
"01045",25229035.7082542,24253136.3841197,25022047.3884499,24976298.0568319,25486121.4007797
"01047",19493036.4999657,17773300.9702971,18033846.1729741,18431687.871957,19729939.5960481
"01049",29785690.7420027,25658617.4848649,26137459.2283946,27895744.6061141,30081122.6424539
"01051",23831587.7838127,22240599.5331043,23098944.7510958,23054251.0315529,23951309.5293594
"01053",16403406.4590226,16438575.4784117,17316521.4240794,17530230.0237972,16720192.6706711
"01055",93845985.341585,81772674.8901177,86240839.6212507,88218385.5288372,94396177.8642402
"01057",3651529.79944765,3308937.17113382,3360669.08290495,3681008.7670316,3717419.81552751
"01059",8176529.04125616,7181664.5872114,7947773.26635593,8018058.55594581,8008737.98904328
"01061",2810567.12936319,2710576.13218698,2768434.24054471,2729429.2150102,2758364.36924631
"01063",657995.801840897,623883.241805142,647884.773746616,753740.191605486,689608.213500971
"01065",2528415.55995839,2363425.85961492,2318339.86286987,2277859.04410466,2588373.91255994
"01067",3776503.97087691,3299949.94390566,3305244.78094163,3418019.98171214,3832556.62650332
"01069",135428149.83859,114980346.280402,115223174.997411,106512133.579448,123415577.465287
"01071",12478381.1701641,10966988.3183725,11363611.3368736,11667653.3317553,12650715.4397709
"01073",938278876.220709,802563354.542644,852797565.422566,877427217.79883,945094638.140095
"01075",2342489.85950525,2270946.44761046,2324350.0478266,2510026.97442237,2439184.48207446
"01077",59805451.6267885,52282502.698189,58652807.7707388,54138961.610207,61546061.356497
"01079",5586732.02639698,5600859.66791093,5666222.8078214,5765699.53345872,5702514.2657137
"01081",54876613.7246273,45683014.2271883,48833546.9792926,50750350.655669,56058465.5258362
"01083",17254599.0601715,14264037.610205,15701683.2791671,15438720.1784407,17516899.9492012
"01085",1460241.19369744,1407550.51898452,1486142.4857854,1501862.49852664,1492457.98690075
"01087",2167176.1998334,2167175.77972686,2167175.77972825,2167175.77972825,2167175.77972825
"01089",301645157.533003,264641263.308385,257806483.268033,268924847.108939,316793783.370733
"01091",4046431.79460448,5498674.911682,6139994.40165649,5175833.91518495,4966838.59056922
"01093",12314636.5249933,11192188.7831049,11482535.6391618,12815261.1893604,12496023.4821801
"01095",28639782.8940291,26588483.1033589,25485897.8660557,26395166.2083289,29181985.6027701
"01097",413323388.789136,341463526.812343,359434469.06261,415016634.399719,405374695.960536
"01099",4076540.14254028,3666877.2718263,4045360.3409163,4295282.52009755,4092359.7541783
"01101",188113834.507186,168372661.011313,166094764.259241,181754036.009912,200940231.217252
"01103",50553865.5810092,37969752.1424497,42755826.8153901,45789682.7434781,50592492.2426212
"01105",4261763.17727044,4449471.12787241,4573796.8876718,4509427.05416339,4607681.3366597
"01107",4022049.71341102,4223198.52347987,4136218.66911786,4189309.27750048,4133369.92386091
"01109",10113594.7975218,7522458.20348216,8421727.22101988,8941278.23608075,9886394.64988646
"01111",6080228.94665006,5760045.12798118,6205046.96744944,5880731.58078046,6284911.81909332
"01113",19006405.951038,19140168.0105946,19276408.0630105,19412658.668186,19548909.318483
"01115",23874516.132152,22082423.312112,22106162.1060397,22781812.2932641,25256943.8411166
"01117",125831562.262347,114055782.781275,115791575.49411,114442272.928515,129652325.485789
