"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",34016880.7099595,32163224.1679377,32080602.0859138,33651263.5267246,33407723.663259
"01003",145814672.611876,121583277.794976,125524192.725831,136533532.023485,145110857.377821
"01005",27718112.9465231,24051103.4971468,24830482.7037253,27734952.7144581,27089596.8781584
"01007",20513849.527282,19448410.6685672,18263670.1866173,20542689.886022,22706361.3186994
"01009",26273736.8711338,20286893.014281,21647870.9770685,21369469.5544729,24893251.6453472
"01011",13683566.0454435,12318661.9479161,11091386.6304251,12220955.4945339,13922417.7969126
"01013",27428955.5202281,19998159.7997314,20822298.6177677,20762035.3458259,28265976.7019292
"01015",116383349.534871,116600216.697565,108938516.327834,111378389.403963,115886605.141164
"01017",39248595.8410469,30926765.9274691,32362146.0277453,32824117.4097484,38257492.6328021
"01019",13095729.3953147,12743684.4061548,13104406.2146895,12870953.4998413,13075684.6203654
"01021",37144512.6822333,32132398.603795,33161683.8952184,35791988.6516916,37030910.3807724
"01023",26873832.4032602,25937158.8471178,26447630.8397376,26643589.2622405,26512491.720573
"01025",44256757.8627931,42124068.3503741,40938433.7355345,40657424.699426,44622688.857772
"01027",27552173.8283764,26806821.9948826,26078620.1712313,27149912.4956113,27683382.9933545
"01029",13153902.9457614,9914969.90909145,10910770.230868,11738962.4049294,13103111.6494166
"01031",46178941.1853089,42284040.648474,42618152.5827448,45332389.1064344,46914867.7827686
"01033",122512333.965635,116668361.48293,110469303.963214,116531195.917928,123680348.487726
"01035",9725441.55230778,7531382.39691866,8441727.70166309,8540719.04026303,9568538.99108367
"01037",8883497.2374412,6063164.87828355,6151645.04637621,7063110.0350169,9142702.66588112
"01039",34714038.6624625,28624172.2959649,28856577.9204288,28260705.2612623,32068115.1438393
"01041",12996585.6116153,12635098.7335552,12974529.0116106,12650631.783294,12959718.493959
"01043",113885581.137636,99028057.7318623,105807548.995607,107595325.7049,113970234.533568
"01045",94202179.5327173,84978967.688428,86255845.1132413,92246567.8493138,92992108.3942631
"01047",48708907.7307483,43280469.3587282,41337672.7621526,45192267.6468354,47927628.191983
"01049",103624696.17264,88715068.3263582,92678713.8474882,96963006.5720137,104776004.242127
"01051",48162539.9254331,47994851.8729689,47386295.6804605,48035442.4070268,49127844.6869731
"01053",39861754.4615084,33414233.8176955,35967527.8012432,35906651.44194,38136223.7238414
"01055",58994191.1937085,61702621.3320515,63672064.7693889,64894236.6135457,65703665.0511009
"01057",14276298.2089136,14847385.074179,14658231.8537587,14724387.6829134,14701560.866006
"01059",62872954.8722746,58436855.7362735,59764692.9871521,58747622.2442261,62974013.5097794
"01061",13484873.3455764,10359429.4335017,11701578.2727491,11918861.9272442,13564048.8972299
"01063",6984375.69131194,6272919.77978373,6834918.29902484,6532409.933044,6844340.8625108
"01065",11513570.1808897,10857512.3273859,10795657.3603714,10726787.7687952,11324703.9793872
"01067",15509850.1151655,12864318.5296257,12366072.7813821,12853216.751392,15286692.9502915
"01069",81765692.1589656,68014519.4885452,71371995.5879586,75923220.7482767,80070270.9130498
"01071",72543468.4427854,68264946.4316695,70008593.2348418,70044178.9985535,70099813.0173467
"01073",771758897.911969,745983816.130803,702621676.807377,722531472.653042,809704867.257769
"01075",17369418.1417412,17330925.84214,17328259.5532634,16253747.1791178,17339061.0751655
"01077",53746594.5018578,50023246.8155883,51400932.6746685,54811604.1086778,54954080.3397088
"01079",7941771.55071392,7900268.68293022,7900198.4561196,7900197.59926606,7900197.58881128
"01081",139810323.462167,137406586.8773,134631913.701182,140769114.9856,139127005.30338
"01083",124615164.722306,113162720.663524,114319061.247713,113629999.888776,123459701.532101
"01085",15336096.4429692,13146691.5006643,15904783.0948206,13994863.0059669,15580654.6493854
"01087",8502553.44459991,6826163.67882339,6331851.51893149,6816062.55951831,9264626.64729316
"01089",655572837.004484,617341310.241877,626520800.789971,637951317.154388,642832065.29487
"01091",33065596.6020571,30124569.3752625,30447329.9190578,30184428.3181808,32515533.3931239
