"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",11385803.6940198,9825458.12259061,10373572.8618794,10712505.0793303,11994312.1340939
"01003",88537469.3485412,72977303.1111985,81706952.5720982,84900166.4513357,90579197.2702421
"01005",3599477.2159076,3557935.85100312,3652589.62004679,3580599.88595248,3582662.23007085
"01007",1812567.36422377,1755257.77118834,1725080.03161919,1709202.36400829,1700848.50706642
"01009",5770930.09982488,5897130.98293112,5921637.42536848,5978098.80073099,6024520.27510685
"01011",1598555.47895817,1606750.57784275,1606818.70353758,1606819.24715346,1606819.25148983
"01013",4292321.5588957,3865860.22906302,4275376.41915861,4299038.12738186,4642908.60148148
"01015",35744049.8461464,35744024.992163,35744024.995129,35744024.9951286,35744024.9951286
"01017",4998166.00701576,4997437.39773998,4997438.25213062,4997438.25112874,4997438.25112992
"01019",2436607.03987649,2245527.11451955,2439811.62923047,2594785.60962808,2385302.02986813
"01021",2649170.64986633,2436801.66939011,2469289.55037304,2684800.08178554,2909794.13959661
"01023",1130982.23158357,1137974.02818895,1145300.47601057,1151861.9916986,1154715.40217391
"01025",2526986.44809903,2429435.93201169,2533382.97036693,2611346.85414169,2575383.87439811
"01027",516494.68031299,516458.588510103,516458.661441785,516458.661294389,516458.661294687
"01029",424107.192736874,356635.978667668,254101.122137582,293986.432692278,293547.213579587
"01031",22659183.5599831,20823110.1031404,22730506.2820199,21994409.2389901,22669601.3277549
"01033",16717765.3659233,15706218.1881756,17833476.2254233,16760388.9610127,18319795.6089152
"01035",1143435.81973916,1144767.26004938,1144809.36778035,1144810.68016219,1144810.72104668
"01037",669202.941740924,466407.636580837,634966.063731536,817736.818391343,682035.468200862
"01039",5802527.36962514,5842055.54351981,5878089.10998064,5910937.02031788,5940880.91206937
"01041",6496.2935754118,8549.60870264596,8549.60870570741,8549.60870570745,8549.60870570745
"01043",18319174.4428723,16659670.6056573,16112977.8440177,16006598.9786796,17706280.7369678
"01045",22725511.9373623,23224122.4884519,23415460.6479853,23636859.8590649,23850046.7854293
"01047",5324039.4494219,4441163.45902499,5181375.98691485,4647926.14939492,5150515.74454348
"01049",16074977.88582,7670245.64793959,11858072.0388297,10807333.4008535,15545990.8652121
"01051",11783042.1030559,10072337.3270737,11418441.5509355,10744278.8930016,12351176.95676
"01053",5667340.14784439,5193196.2877178,5625013.78912405,5397769.36857922,5940755.01344804
"01055",29532747.4110045,26698351.1313908,23229842.5771983,27008100.9537951,30021711.540682
"01057",641478.878728829,358939.003193481,500383.602394542,469273.810518025,476994.910555297
"01059",3372053.23162062,3361167.46421395,3364704.33592938,3363553.98565531,3363928.12452821
"01061",1700814.29234214,1700817.75250351,1700817.7445737,1700817.74459187,1700817.74459183
"01063",205938.44540643,216615.599606245,218887.838538262,219375.915146665,219480.616069883
"01065",302057.467233182,293079.464704664,295402.019619059,294777.891400505,294944.462725277
"01067",9094130.356328,2878090.55088214,8342525.32919612,17849979.2091373,12267821.9068455
"01069",47791343.6443347,39917246.4377418,42310163.0324015,40332910.9956322,50714015.3947144
"01071",5491243.63024349,4188812.30281257,5581678.43527415,4105474.77684043,5118725.23182732
"01073",891192152.126849,851164703.80552,813346418.388088,782070451.356536,895881740.315388
"01075",3502418.6512974,3351141.95329285,3525467.41377734,3457518.48721209,3570208.90025418
"01077",26289862.6003779,22641806.8520976,23093246.7072497,23774107.8473809,26740269.3602708
"01079",4900989.4657046,4405992.09435356,4659600.70251806,4918464.23276803,3965707.73171337
"01081",57382658.2103686,52169435.0634118,49786941.063245,56533751.8769426,67939858.0369954
"01083",24061941.6193973,19721669.4117846,21191256.3759175,21827439.5774436,22934215.7956379
"01085",1260499.56599271,768404.468757561,896526.797648442,947019.790592209,1218793.92221293
"01087",1641802.92935588,1865270.31482333,1880070.53561264,1894871.82452347,1909673.11342932
"01089",1270293641.80694,1256513453.62428,1243975246.42555,1267798042.79458,1292559103.12956
"01091",9932511.22784535,10520867.8288069,11122239.6691312,11723615.9348307,12324992.1447707
"01093",2961793.14382124,3098794.76834976,3048331.02259623,3030765.72407932,3005219.06622196
