"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",127892173.636386,118760482.845921,121082988.26085,129847680.817698,129653965.278478
"01003",903169318.502153,845515669.228833,893628012.437286,875435914.139703,911114191.564384
"01005",81448584.869442,76415031.3057296,77389394.0823667,76811290.7568787,81500255.4396868
"01007",57971445.9091892,57047493.8471375,54497172.3652866,56462018.8247929,60041848.3699055
"01009",92235003.6176535,81940433.1831404,87473781.849878,89531116.7531487,94776347.8568907
"01011",34458019.4629434,30774461.0657191,30800829.9465466,30995506.6181181,36167011.2329649
"01013",65394823.3775509,60190459.0889977,63854504.0096991,61692203.5051238,67455176.277644
"01015",527014085.427109,487440996.124462,491703025.513618,509384731.828078,535288042.803823
"01017",97051001.4099471,82905371.1587865,85198191.3747618,86629107.7361031,95312867.6974841
"01019",49633377.1401506,48273688.2449356,48590400.184145,47329809.0507771,47611991.4577683
"01021",104421358.37036,93005785.2175831,96005000.4129874,101239567.089894,105475998.209456
"01023",48077511.6096087,46022964.0596593,45719738.1814796,48720461.8434797,52359589.6714448
"01025",98793678.542788,90228520.2093493,94033763.2409188,96583639.0895807,98651855.1466878
"01027",45604329.3742862,44082574.1688825,44251388.6998316,44344114.5792298,46356243.6701765
"01029",28204031.3404948,24970574.3611714,26603536.9012691,27368721.9507508,29152985.7795895
"01031",177222423.631601,161124548.661818,174623375.856979,180298791.308804,186396938.0062
"01033",312885547.714193,292251301.937797,284295821.342726,292436421.130094,322257190.279208
"01035",34722541.6718123,31930921.6685602,33245699.4971773,33858751.2389614,35006192.3462195
"01037",15189586.076896,12068008.4184162,13096071.4245125,13930537.5772668,13284782.3321468
"01039",131552750.108712,117619537.4982,123495554.346574,126869557.84638,132376813.871571
"01041",36097007.693266,33087980.3741184,36634480.4935554,32969565.6761156,38483040.2097542
"01043",355902733.086498,332904161.080519,340402630.303619,336430539.094065,351696072.494873
"01045",265596533.556729,251446359.859107,243137414.544214,257019728.334612,278647359.962465
"01047",131301899.789006,114311054.693143,118523959.681603,122849826.768132,127975241.78329
