"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",64107887.7794887,59900613.2533343,61210360.2266135,63832808.224354,66338809.919474
"01003",622044504.494185,599326448.512462,618501155.537627,654157175.391697,655095936.97051
"01005",31071716.2775227,30922998.7234996,30930347.2779371,31128307.8473143,31288468.2237497
"01007",22155343.6385412,20945249.4381243,21419227.3659953,21374714.6750641,23195097.2943712
"01009",43744455.6584614,41888379.4469145,42877125.8375125,43580224.6818863,44412927.6061332
"01011",11114805.3259171,11184476.1735472,11254120.3482053,11323764.5078813,11393408.6675489
"01013",34999576.1649304,33376943.4585042,32846001.4278919,33380464.2364887,36035765.8094624
"01015",236495301.600556,220440908.365908,226246972.346827,233647041.820509,239608474.35426
"01017",37441811.9299107,29387459.8089773,31081732.6734535,31754405.7009785,35710947.4977986
"01019",25795412.846733,23764249.3660666,25719914.6619186,25822928.4824036,26537577.0982833
"01021",46438434.3936609,42454069.8230987,44017146.5911321,45407956.616839,47003832.7634933
"01023",17316397.3111998,17140794.3253521,17763747.6426723,17756013.1523166,18262656.0389983
"01025",36917718.1879433,35646249.8185878,35260757.2678502,36261450.2465729,37367190.5591015
"01027",9327578.83126144,8072145.0797594,8209584.64402604,8069481.05909538,9379571.75513695
"01029",6933693.02298664,6869639.86061755,6875729.02279202,6906181.60483582,6944996.67170785
"01031",95070086.5270975,104794926.275356,89993793.2813186,105604399.128879,103730789.826959
"01033",122563847.470167,111775115.47418,115075826.569962,113890602.275126,117695260.419142
"01035",18610743.6306155,17819263.0678645,17816164.0743032,18012668.3998826,17851411.492489
"01037",4598481.02679723,4368483.43550083,4264128.9454175,4558115.15766563,4703637.27623637
"01039",74413840.4576472,70883424.3369125,71511885.3506047,74152254.6197492,75636376.3570254
"01041",17141198.0913202,14773284.652219,17349859.9867604,15758359.1357229,17479844.5617821
"01043",202886129.956011,182070713.476676,190906225.096585,193625617.210691,210837230.775806
"01045",96833144.5379415,90937023.7804628,93854238.4427536,97231499.3921529,97957597.7657219
"01047",55538515.6059871,48260131.5538975,51707716.8202711,52384882.3979185,54408249.2482571
"01049",111838203.702884,95802270.0940627,99251863.6544167,112840861.699198,117211886.601136
"01051",110259391.466921,98921622.4898371,103411155.492827,100181224.244694,106386063.250319
"01053",55479920.1678307,55785212.7392027,55388961.0099027,55498700.2316881,56212916.2768477
