"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",6690829.23861927,6650820.46472669,6758204.43792641,6939214.63240577,6801195.48378249
"01003",91265670.3563308,74436057.6921097,97088017.0672437,95049228.6889014,79260629.5474659
"01005",2750318.4632011,2802487.28822972,2626382.48808843,2708043.43024915,2800208.97395997
"01007",714864.54543385,714362.392498281,714496.026767226,714464.258550042,714471.657813147
"01009",3305344.74900613,3247796.04076549,3405008.82388644,3500880.13693195,3402743.93669454
"01011",435365.619681311,397172.587406161,418472.851685769,388902.013553397,410644.777877426
"01013",3180465.92963904,3013538.09177319,3081058.27079667,3235451.10727049,3184384.74163912
"01015",21851035.5699243,20845655.5320099,20963644.4701104,21087960.2064809,21212279.3279707
"01017",3417165.56154568,3081527.60141218,3393594.61004013,3400692.66410651,3446354.97698711
"01019",1855399.13403374,1981836.35699318,2130572.42587777,2164887.00671563,2182874.69692337
"01021",4076333.03053196,3976324.97017072,4074252.83370662,4227081.69685772,4192684.50369913
"01023",563473.399264719,532556.555230412,509141.586521369,492033.520175978,479508.595541117
"01025",2386492.61385556,2188822.09362688,2430830.92531173,2479138.80851406,2357354.43725714
"01027",410095.839370051,395025.343551259,415980.155582551,401833.328179393,419875.009770247
"01029",565984.140351949,544082.596910114,555351.814223157,545826.440511905,553653.034136632
"01031",9256528.04148155,8724600.31471415,9523377.61915681,9676419.08177718,9048651.83355833
"01033",8310097.22796623,7413804.42325867,7745898.13278653,8138996.04369503,7506726.76913615
"01035",899260.904130385,822328.221992662,972601.583666517,916109.896692042,778158.045870196
"01037",513056.270233245,499458.44926213,513684.090505595,511298.388948661,505895.954571764
"01039",3812812.4995077,5251301.82857857,4629070.86018008,6399622.43226229,4839075.16722529
"01041",906423.677072703,827705.601737472,899300.611551929,941196.891523028,846134.692085376
"01043",14152784.568338,13847579.1897597,14428721.2475399,14305326.6373968,14216696.4393438
"01045",4987312.31412291,5065460.95812521,5170621.3081864,5292305.1819178,5144484.57231655
"01047",3154372.76458778,3200831.64016301,3180240.92171398,3225893.56189609,3207163.73723212
"01049",9310498.05570355,9667624.17228844,8099516.33535902,10613695.1959595,9864402.06902444
"01051",15216166.6360998,14850325.5957198,14991811.8168213,15133300.0647885,15274788.3068286
"01053",4998406.34473121,4721224.6954498,4935886.08214494,5031443.28747151,4952407.5446644
"01055",16062700.9793693,15557462.7114112,16190541.3748141,16328299.8698063,16125222.3621513
"01057",1049689.92150666,1017438.74687775,997839.438239014,1011241.41655157,961410.426728378
"01059",2579722.68276382,2468562.19986581,2584527.83810448,2624202.67068287,2666579.78113955
"01061",1527349.48163832,1492467.21174133,1581797.52167405,1574833.54944876,1574730.31244843
"01063",2049015.36079245,1802086.90045185,1949179.8270815,1716636.16502029,1869021.68786404
"01065",585103.07645682,583061.069482381,577317.493255254,586198.048653098,588674.252249722
"01067",868346.210455254,874721.030867642,862595.30235598,887070.873677096,880006.876931999
"01069",26139549.6902473,25583367.1352196,25619335.298751,25771795.1531094,25934222.3596974
"01071",4945767.72446496,4871731.47895431,4645438.45305608,5101461.7025588,5041968.30659933
"01073",188001116.8964,185555676.327854,185187651.061877,185606497.160712,186369345.874355
"01075",666715.98576631,676938.834281745,711028.344360395,704170.095627331,682387.517520435
"01077",20118914.4564906,20366326.6095286,20610407.224103,20827714.438975,21011452.7106658
