"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",24566576.6953371,23306574.1724329,23442090.9681554,25441061.8148724,26547518.5797368
"01003",58022948.0716753,51163374.2996908,54199742.4080573,54388538.3438055,58296423.2797524
"01005",23313132.4422274,23339894.7300145,23340419.4861097,23340429.625307,23340429.8211575
"01007",7821214.63619822,7788960.38319385,7798209.37791758,7795537.15852839,7796309.29277963
"01009",16022627.768919,13571280.9848028,15629146.6548869,15058344.5470265,15976634.2749172
"01011",4674241.42716612,3784615.26527527,3387725.01978434,3270214.33203417,3248954.81225726
"01013",17620847.175115,16048545.4107699,16283819.1894997,16491420.5896978,18064212.6178856
"01015",97635761.4389749,99414097.4535156,93075999.3696648,94979893.9646712,97133919.7425422
"01017",37590080.0127459,23150021.4410668,27011168.1282376,28437077.2880408,38497640.4503161
"01019",10755508.1886014,8711390.34162702,8306239.63960236,9648911.05464808,10980068.7698033
"01021",25806649.4909818,24130810.5232955,24539965.5824624,26173422.0537003,26208205.2401313
"01023",-141807.844279715,-141783.087542142,-141783.091865662,-141783.091864907,-141783.091864907
"01025",35417816.1095842,33034040.3823896,33785685.3996113,34367150.5908249,34656409.6558789
"01027",26775890.8173366,25165644.6455963,25116815.2939384,26510012.4223979,25389027.0886577
"01029",5174247.33413428,4218845.77166743,5257581.38142032,5046552.99555207,4696450.40378638
"01031",32492053.0877116,30441355.1332161,31029280.946737,32862304.7446696,33433972.1447897
"01033",90561118.1166635,84851193.0153903,79688350.1503389,85902295.5210487,91707593.6155129
"01035",6348073.3315114,4911384.41859803,5144560.03384119,5352599.6765856,6554043.62080558
"01037",8310023.32170352,5592762.67483476,5817483.16153401,6596789.91178173,9933500.59766231
"01039",25100413.0228063,22425122.3184819,23628493.4663118,22296757.9029108,23269583.3539081
"01041",9945194.58277414,9739833.6549872,9936443.6408262,9755809.89047803,9921989.13298937
"01043",87535993.2046027,81915259.9209817,80829146.2561214,85326158.5545655,91878814.5686611
"01045",81758246.9436951,78128085.9408866,72710128.3689411,81690179.938871,82860291.1845452
"01047",38913393.4090949,36433431.3303099,33565832.3752409,36678616.8674643,38467272.5180594
"01049",87280507.3303996,79289779.1124659,83911156.2352729,81957138.1539641,87028527.9349079
"01051",32637085.9445619,34551191.9239446,32901247.5166627,33007511.2551445,34418375.2352647
"01053",27433397.5859763,24672121.7466647,25560133.4456122,26947862.4324381,27452770.2177509
"01055",48736247.3000659,50874846.0235193,52402488.3713047,53484815.9752351,54270925.4503445
"01057",11753877.9198868,12359204.2785136,12423944.293598,12359996.722371,12423151.769898
"01059",63277038.7504,53777945.6881229,56325051.1524738,55131278.4735883,59798510.8084863
"01061",6834741.845894,6316522.53974542,6800457.71404556,6310286.95031622,6769947.62029178
"01063",6149238.83532284,5236782.98789562,6068377.78214649,5901730.28971632,6262862.83392475
"01065",7113543.22687633,7326046.5915563,6937502.89019784,6803294.04901074,7067899.6408132
"01067",9046133.0957942,6236432.16362537,6118138.15118285,6639466.25946493,8652387.43980877
"01069",50163341.7346787,44675910.886304,44455711.2617645,45490962.4430909,49049011.9180229
"01071",66582856.0682036,61892750.0141594,65852688.1063868,65983635.5969509,63852449.6695041
"01073",423258362.621768,402925026.711031,396274551.146758,400711470.284782,423307984.969959
"01075",16335404.5975259,15810615.8146727,16037575.3179969,14720886.319439,16439860.7164851
"01077",30889036.2807153,27914138.6175712,29822488.9547277,31151108.0555176,31242949.1938051
"01079",1866060.57964339,1842060.6151955,1842056.3786745,1842056.36294263,1842056.36288421
"01081",94891600.1082944,88781992.2428373,85212230.5118008,90705336.8716663,94172134.4356431
"01083",67288811.4265502,57154821.3535923,66815790.0467548,74891539.5214166,69393668.2690627
"01085",13410247.21433,11637931.5777309,12099985.9048454,12263804.3885917,12675478.7241109
