"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",375376.551956569,374015.868413858,374620.116823093,374351.785735598,374470.944630207
"01003",5946439.41484646,5923408.40332813,5922796.82086034,5922781.00386328,5922780.59508339
"01005",-110472.495314356,-114387.177093641,-118211.770372363,-122036.359384364,-125860.948396165
"01007",-5185.01272906589,2207.27162800665,-11494.8262814284,3477.99148982387,-15050.5523845755
"01009",927169.861613267,927119.667271226,927119.581296319,927119.581148998,927119.581148746
"01011",3917.40759341756,3906.11954362616,3915.71336156677,3907.5677504868,3914.48376457948
"01013",323732.481530175,399658.060194645,323078.035269471,406816.437629403,329836.681899674
"01015",3731147.80561322,3731088.22220443,3731088.23259273,3731088.23259092,3731088.23259092
"01017",523170.521212455,900357.784490052,878660.531015052,885598.827503684,883131.59715248
"01019",347054.057194265,346854.504625281,346972.923411317,346904.833220271,346943.983394541
"01021",606566.989233696,557448.783126925,594967.59434345,567099.471859586,587861.167601133
"01023",164924.534297461,112624.028051639,167833.475512392,137969.035595057,135749.919993005
"01025",244246.032767232,241669.933629692,238687.516632599,235704.94791954,232722.379150709
"01027",144009.931444304,138439.023481304,138439.023481304,138439.023481304,138439.023481304
"01029",323471.118336824,259048.041775788,88128.3001434047,265320.331920968,253383.210275399
"01031",781918.104568492,765680.034855533,781089.51668447,766590.361592531,780232.654909532
"01033",1649879.9413048,1499342.00100514,1646332.28010952,1518824.48493007,1646899.12904474
"01035",265231.774692329,218501.053117186,220934.064811406,230047.750616736,256550.911864259
"01037",-182.01823478726,765.172360284669,752.9632129416,753.123895283376,753.121781136728
"01039",511890.351727286,509668.06770877,508460.783130631,495979.454711082,485432.183935114
"01041",4334.92790328967,4334.92790328967,4334.92790328967,4334.92790328967,4334.92790328967
"01043",1809687.0734716,1783222.74236557,1771458.41484717,1766279.47278621,1763999.27854818
"01045",1680874.83412835,2037393.68751874,1965317.14901321,2183330.12595661,2110610.14223884
"01047",995073.238673328,995058.455313465,995058.452282944,995058.452282322,995058.452282322
"01049",2315715.35379894,2402968.15304571,2316913.66697386,2395004.94367601,2323721.79072666
"01051",789938.512295909,748701.389092101,874653.043434822,927978.306370318,913189.409561654
"01053",341232.999263543,342162.88548684,346209.938131361,345827.09886918,347532.555719478
"01055",1807768.46609449,1807768.46609449,1807768.46609449,1807768.46609449,1807768.46609449
"01057",176920.405771082,170404.604825899,166818.292808297,160749.082978863,156817.002141631
"01059",378660.119803773,378656.623791339,378656.616454305,378656.616438907,378656.616438875
"01061",758.169107619945,758.129142958724,758.129145069641,758.12914506953,758.12914506953
"01063",1479.93160772011,2519.68153313298,2519.68153673755,2519.6815367374,2519.6815367374
"01065",192157.722619683,225847.340093102,210919.367372394,222571.868474781,204792.95664791
"01067",870.517887470375,857.315899790761,857.51519048182,857.512181876927,857.512227296479
"01069",4458539.38286074,4500211.90960162,4462066.33713157,4497175.08719875,4464861.45730547
"01071",3374311.77525093,3088417.35940547,2694548.33534281,2374272.45080221,2113839.06825232
"01073",90700227.890057,89638254.8697081,88576114.0861013,87513973.3052787,86451832.524456
"01075",122071.965612659,123152.171540977,124097.42129859,124924.167502874,125647.266696579
"01077",2688319.57694637,2401876.73346615,2460449.37381217,2638667.81127381,2631485.17003048
"01079",-352.114052591611,-352.073791481686,-352.073795902387,-352.073795901902,-352.073795901902
